order_date,order_id,customer_id,item_id,item_price,quantity,amount_paid_gbp
13/2/2019,ID001,customer_1,item_3,10,2,20
15/2/2019,ID002,customer_2,item_1,23.5,2,47
22/2/2019,ID003,customer_3,item_5,35,5,175
16/2/2019,ID004,customer_2,item_2,7.5,3,22.5
16/2/2019,ID005,customer_1,item_1,23.5,4,94
19/2/2019,ID006,customer_4,item_1,23.5,6,141
19/2/2019,ID007,customer_2,item_1,23.5,1,23.5
19/2/2019,ID008,customer_2,item_2,7.5,1,7.5
21/2/2019,ID009,customer_1,item_2,7.5,3,22.5
22/2/2019,ID010,customer_1,item_3,10,2,20
23/2/2019,ID011,customer_1,item_5,35,2,70
24/2/2019,ID012,customer_3,item_5,35,3,105
25/2/2019,ID013,customer_2,item_5,35,1,35
26/2/2019,ID014,customer_1,item_1,23.5,4,94
28/2/2019,ID015,customer_3,item_1,23.5,5,117.5
28/2/2019,ID016,customer_2,item_2,7.5,9,67.5
01/3/2019,ID017,customer_1,item_2,7.5,12,90
02/3/2019,ID018,customer_1,item_1,23.5,10,235
02/3/2019,ID019,customer_1,item_4,11.75,7,82.25
02/3/2019,ID020,customer_2,item_4,11.75,2,23.5
05/3/2019,ID021,customer_1,item_4,11.75,2,23.5
06/3/2019,ID022,customer_1,item_4,11.75,4,47
08/3/2019,ID023,customer_2,item_1,23.5,5,117.5
08/3/2019,ID024,customer_2,item_1,23.5,2,47
10/3/2019,ID025,customer_4,item_3,10,1,10
10/3/2019,ID026,customer_3,item_4,11.75,1,11.75
11/3/2019,ID027,customer_1,item_3,10,5,50
12/3/2019,ID028,customer_1,item_2,7.5,6,45
13/3/2019,ID029,customer_2,item_2,7.5,7,52.5
13/3/2019,ID030,customer_1,item_1,23.5,7,164.5
14/1/2020,ID031,customer_2,item_1,23.5,3,70.5
15/1/2020,ID032,customer_4,item_3,10,4,40
15/1/2020,ID033,customer_1,item_1,23.5,1,23.5
17/2/2020,ID034,customer_1,item_1,23.5,6,141
17/2/2020,ID035,customer_1,item_1,23.5,2,47
18/2/2020,ID036,customer_4,item_1,23.5,7,164.5
19/3/2020,ID037,customer_2,item_1,23.5,7,164.5
20/3/2020,ID038,customer_3,item_1,23.5,2,47
22/2/2020,ID039,customer_4,item_3,10,5,50
22/3/2020,ID040,customer_4,item_3,10,2,20
23/3/2020,ID041,customer_3,item_3,10,5,50
24/3/2020,ID042,customer_4,item_4,11.75,11,129.25
25/3/2020,ID043,customer_4,item_1,23.5,12,282
26/3/2020,ID044,customer_3,item_1,23.5,3,70.5
29/3/2020,ID045,customer_4,item_3,10,6,60
29/3/2020,ID046,customer_4,item_4,11.75,5,58.75
29/3/2020,ID047,customer_2,item_5,16.5,5,82.5
31/3/2020,ID048,customer_4,item_1,23.5,10,235
02/4/2020,ID049,customer_1,item_2,7.5,3,22.5
02/4/2020,ID050,customer_4,item_2,7.5,2,15
